,Unnamed: 0,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
218,218,11stReview,쁘리엘르,침구,kyou*******,2021.07.15,5,토퍼는 매트리스에 고정할수 있는 밴드가 달렸으면 더 좋았을거 같아요! 이불은 얇고 살짝 오돌도돌 부드럽고 시원하고 좋습니다! ㅎㅎ 배송도 무지 빨랐고 개별로 깔끔하게 잘 포장되어서 왔어요!! ㅎㅎ 많이파세용^^,0,117,6,0,0
229,229,11stReview,쁘리엘르,침구,kyou*******,2021.07.15,5,토퍼는 매트리스에 고정할수 있는 밴드가 달렸으면 더 좋았을거 같아요! 이불은 얇고 살짝 오돌도돌 부드럽고 시원하고 좋습니다! ㅎㅎ 배송도 무지 빨랐고 개별로 깔끔하게 잘 포장되어서 왔어요!! ㅎㅎ 많이파세용^^,0,117,6,0,0
237,237,11stReview,쁘리엘르,침구,hy01**,2021.07.07,5,저렴한 가격에 좋은 베개 커버 샀어요 너무 만족스럽습니다~!*^^*,0,37,6,0,0
248,248,11stReview,쁘리엘르,침구,hy01**,2021.07.07,5,너무 부드럽고 좋아요 머리 얼굴에 닿았을때 좋으네여~!!*^^*,0,35,7,0,0
349,349,11stReview,쁘리엘르,침구,wnsd***,2021.06.19,5,예쁘고 가볍고 부드러워요 빨아놓으니 우리집 막둥이가 폭신폭신 부드러운지 너무 좋아했어요~^^ 분홍색은 톤다운색이고요~^^ 슈퍼킹이라 퀸이불이 작은데 크게 나왔길래 구매했는데 나쁘지않아요~^^ 2개 같이쓰려고 2개 구입햇어요,0,124,9,0,0
376,376,11stReview,쁘리엘르,침구,bany****,2021.07.14,5,"생각했던것보다 꽤 좋은데요.... 가격이 저렴해서 기대안했지만 까슬까슬 시원한것 같아요!! 받자마자 바로 빨아놨는데 보풀도 안 일어나고, 올 여름 잘 사용하겠네요!!^^",0,94,6,0,0
378,378,11stReview,쁘리엘르,침구,JEA,2021.06.16,5,부드럽고 재질도 좋아요. 더워도 여름에 이불은 덮고 자는데 아주 딱입니다! 그레이샀는데 실제로보면 파랑색이 보여요. 블루 그레이랄까…? 더 예쁘네요!!,0,84,5,0,0
421,421,11stReview,쁘리엘르,침구,bbab****************,2021.06.27,5,빨래도 편하게 할수있고~~ 얇아서 깔아도 좋고 덮어도 좋고~~ 1+1이라 더 좋네요,0,46,5,0,0
433,433,11stReview,쁘리엘르,침구,judy***,2021.07.11,5,마침 필요하던차에 행사로 착한가격에 구매했어요. 우선 배송 빠르고 색상 화면 그대로~ 굿! 재질도 생각한 그대로~ 굿!!,0,67,5,0,0
507,507,11stReview,쁘리엘르,침구,dkfe*******,2021.07.01,5,지~~~~~~인짜 진짜 좋아요 워... 이것만 쓰고싶어요 눅눅함 1도없고 세상 너무 좋네요,0,50,6,0,0
534,534,11stReview,윈드피아,선풍기,ktan*****,2021.06.27,5,이번엔 딸방에 놓을거 주문했어요~집에 windpia 선풍기가 4대이네요...ㅋ 미풍도 아주 시원한 요즘이에요~ sk 포인트에 ok캐시백포인트까지 해서 엄청 저렴하게 구입했습니다~^^ 잘 쓰겠습니다~~,0,111,7,0,1
573,573,11stReview,윈드피아,선풍기,ybl8**,2021.07.15,5,지인짜 가성비 갑!!!!! 소리도 생각보다 안나고 가격대비짱이에용,0,36,5,0,0
578,578,11stReview,윈드피아,선풍기,cgj9***,2021.07.02,5,윈드피아 선풍기는 저도 잘모르는 브랜드 였는데 막상 사용해보니 ~~우선~제가 많이 놀랬읍니다 이제품의 장점 첫번째는 우선 단단하고 강함을 가지고 있는거 같읍니다 색상 자체가 검은색이어서인것도 그런면도 있겠읍니다만 날개를 보호하는 보호막 외부커버도 아주단단한거 같읍니다 그리고 스탠드형이다보니 가운데 기둥도 아주 단단해보입니다 저는 집에 있는 제품이나 가게에있는제품이나 모두다 윈드피아제품을 사용하고있읍니다 한식집을 운영하다보니 가게에 선풍기가 많이필요해서 가게에 ~~약10대 정도있고 집에 1대있읍니다 어쨌튼 저는 윈드피아제품이 좋아서 ~(그이유는 튼튼하고 바람세기도 강한거 같아서) 쓰고 있는데 다른사람들은 또 모르지요 각자 취향이 다르니까~~아뭏튼 저는 윈드피아 제품에 별다섯개 올립니다??????,0,392,16,4,2
611,611,11stReview,윈드피아,선풍기,ulva*****,2021.06.26,5,좋아요~~ 만족합니다~~ 배송도 빠르고^^ 좋은 제품 감사합니다,0,35,6,0,0
622,622,11stReview,윈드피아,선풍기,love*********,2021.06.21,5,선풍기가 잘작동 돼요~~^^ 가격도 싸고~~^^,0,26,8,0,1
637,637,11stReview,윈드피아,선풍기,gktn****,2021.07.15,5,아휴!!!!!조립하는데 땀뻘뻘!아저씨 출장가고. 하필오늘 오고.덥고.ㅋㅋ 그래서 선풍기 헤드가 작아요.귀엽고! 근데 풍량은 ? 작다고 얕보지 마세요!!!!!! 높이 조절하는 나사가 안맞아서 ㅠㅠ 반품해야하나 ㅠㅠ 하고있다가 팔에서 암놈나사가 뚝 떨어지길래ㅠㅠ 팔에 붙어있다가~ 반품한다니까 놀래서 나왔나봐요! 그래도 조립완성!!! 두상작은 미인입니다,0,195,19,0,1
648,648,11stReview,윈드피아,선풍기,qun1**,2015.08.12,5,보름사용후기-잘쓰고 있어요 이~말이 정답이네요^^ 마트에서 산 다른 키큰선풍기도 있지만 이번에 11번가에서사서 쓰고있는 하늘선풍기 정말좋아요 ㅎㅎ 싼가격에 크게 기대안했는데 바람시원해~ 키커 ㅎㅎ 전 완전 맘에 들어요 1.2.3단 누르는 원터치가 아니라 조금걱정이지만 지금은 잘 쓰고있어요 동영상은1단 틀고 찍었는데 많이 흔드렸네요 이해하세요 ~~ 적극 추천합니다,0,203,7,0,2
649,649,11stReview,윈드피아,선풍기,silv*******,2020.07.17,5,배송은 빨랐어요~ 성능 점검 결과 리모컨도 잘 작동하고 풋터치도 잘 작동합니다~ 바람도 강도에 따라서 세기도 적당하구요 소음은 보통 선풍기 정도?.. 다른 제품에 비해 저렴하게 잘 구입한 것 같네요~ 번창하세요~~,0,119,6,0,1
663,663,11stReview,윈드피아,선풍기,kyul***,2021.06.12,5,조립도 혼자 할만했고 바람도 시원해요!! 소음이 적어서 더 좋네요!! 가성비 짱!!,0,46,6,0,0
666,666,11stReview,윈드피아,선풍기,wnsg******,2021.06.07,5,가성비 갑이라서 너무 좋아요. ㅊㅊ드립니다~~~~~~~~,0,31,8,0,0
670,670,11stReview,윈드피아,선풍기,smd7***,2019.07.05,5,"별점을 높게준 이유는 그래야 많은사람들이 보고 도움받을수있을것같아서요~ 1. 소음 가장 약한 1단계도 기존의 선풍기의 2,3단계에 해당하는 소음입니다. 보네이도 서쿨레이터 2단계 보다 시끄러운 1단계입니다. 초피풍?ㅋ 웃고갑니다. 초미풍이 거의 중 또는 강에 속합니다. 수면모드? 웃긴게 1단계에서는 수면 모드가 안됩니다. 안그래도 센데~2단계에서 수면모드를 하야하는ㅋ 자다가 놀랩니다. 2. 조립상태 부드러운 베어링으로 선풍기목부분을 부드럽게 했다는 설명ㅋ 개뿔ㅋ 탁,탁,틱 시끄러워요~ 3. 버튼 및 배송 그냥저냥 괜찮아요~괜찮은건 괜찮다고 해야겠죠~ 4. 결론 안방에 놓고쓰는 메인으로 쓰려고 했는데 절대불가. 발래말리는 배란다로 직행했습니다요~ 그냥 싼거는 싼거에요~ 안방에 쓰시려면 돈더주고 좋은거 사세요~",0,400,10,0,2
678,678,11stReview,윈드피아,선풍기,pret******,2017.05.27,5,"조립했습니다~ 조립 생각보다 간단하네요~ 드라이버 하나만 있으면 조립 가능합니다. 작동 잘됩니다. 가성비 좋네요~ 다만,, 버튼있는 판이랑 본체 조립할때 선으로 연결되어있는데 이거 두개 조립하는데에 애먹었어요~ 선풍기 몸체 길이를 길게 하면 선이 빨려들어가서 조립하기 쉬워지는데,, 한참해맸습니다. 이부분은 설명서 변경이 좀 필요할 것 같아요~",0,192,5,0,1
679,679,11stReview,윈드피아,선풍기,toot****,2018.07.18,5,"윈드피아는 사랑입니다^^ 회사 관계자 아니고 일반구매자입니다. 2년전에도 구매하였고, 추가로 다른제품 구매하였네요. 가격 솔직히 1만원대 스탠드선풍기로 이렇게 시원한선풍기는 좋은제품이라고 생각합니다. 배송도 빠르고요.삼품도 파손없이 잘도착하였네요. 디자인도 새로나온제품인지 심플하니 좋네요. 감사합니다 많이 파시고요. 지인소개도 하겠습니다~^^",0,192,5,1,2
680,680,11stReview,윈드피아,선풍기,wltn*******,2021.05.20,5,조립할때 비싼 선풍기와는 다른 약하고 가벼운 느낌이 들어서 살살 조립하셔야해요~~그리고 조립은 어렵지 않으나 선풍기 기둥하고 받침대를 조립할때 선으로 연결되어진 부분을 어떻게 처리해서 조립해야하는지 살짝 멘붕 왔었는데 설명서를 읽어보니 기둥 높이조절버튼을 누르면 선이 기둥안으로 들어간다네요 그래서 해보니 자동으로 들어가요 ~~잘 조립된거 같고 바람은 시원하고 소리도 조용해서 좋아요~~잘 사용하겠습니다~~^^,0,229,10,0,2
682,682,11stReview,윈드피아,선풍기,kjun********,2015.06.02,5,잘쓰겠습니다!!!!! 가격에 맞는 적당한 제품이 왔는거 같아요!!! 이 가격대에 너무 많은 걸 바라시는 분들이 계시는것 같아 구지 리뷰 남깁니다. 저는 적당한 제품이고 쓸만하다고 생각 됩니다. 작업실에서 손님용으로 쓸려구 산거에요. 물론 가정용으로 튼튼하고 오래 쓰려면 당연히 돈 더 주고 사셔야죠. 사실 어느 장소에서 써도 나쁘지 않은 제품인거 같습니다. 이 가격대 제품을 사놓고 부품이 후지다고 하는건 말고 안되는 것 같아요.싸고 좋은 제품은 없습니다. 좋은거 기대하셨거들랑 이삼만원 아끼지 말고 비싼거 사세요. 아주아주 오래 쓰기에는 부족할지 몰라도 특별히 고장이 나지 않는다면 관리 잘해서 쓸수 있는 제품 이라구 생각되구요! 배송은 요즘 날이 더운지라 하루정도는 늦게 보내질거라고 예상해서 기다릴만 했습니다. 이만원 줘서 사놓고 뭘 그렇게들 부품이 싸구려니 어쩌니 불만들이신지... 전 잘받아서 쓰고 있습니다 판매자분 많이 파세요^^!,0,471,12,0,0
687,687,11stReview,윈드피아,선풍기,sun5***,2012.08.13,5,이사오면서 쓰던 선풍기 다버리고 에어컨을 미쳐 장만하지못해 ~선풍기구매할려고 쇼핑몰 찾아보다가 화면상 스타일도좋고 깔끔한색상이 넘 맘에들어 구매했어요 구매하면서 걱정도 되드군요..전 신일이나 한일선풍기를 살려고맘먹고있었거든요.. 걱정만 기대반으로 구매했어요.. 어차피 대기업제품도소형가전은 하청으로 생산하는거니 차라리 중소기업제품이 나을수도있겠단 생각도 해보면서 구매했고 가격도 쿠폰적용하고 포인트있는걸로 구매했길래.. 혹 맘에 안들어도 몇년쓰고 버리지하는 맘으로 구매했어요.. 그런데 ~왠걸로 ~도착해서 조립하고 돌렸드니 넘 시원하고 좋아요 대박입니다 어떤분은소리가난다고 했는데 별로 시끄럽지도않고 거실 한쪽에 놓고 사용해보니 넘 시원하니 좋네요.. 리무컨은 앙증맞게 이쁘네요~ㅎㅎ 날개는 일부러3개짜리를 구매했어요.. 날개5개짜리 사용해보니 부드럽긴한데 바람이 약한것같아서3개짤을 구매했드니 선택잘한것같아요 작은선풍기보다 훨 시원하고 좋습니다 날개 3개젤 윗부분입니다 중간부분~다 좋고 맘에드는데 중간부분이 좀 그런거같아요 11번 상품평별로 써보지않아서 몰랐는데 사진올리고 수정하기가 조금 어려워요 올리다보니 상품이 전부 옆으로 누워버렸네요 바로할줄몰라 이대로 상품평적고있는중입니다 선풍기 밑부분과 리모컨이에요 리모콘으로 작동하니 편리하고 좋아요 거실에 둔 전체적인모습입니다 ~ 좋은가격에 구매잘했다고 신랑한테 칭찬들으니 기분 넘좋습니다,0,694,6,0,5
688,688,11stReview,윈드피아,선풍기,jytk**,2013.06.30,5,"한 2년간 사용하던 선풍기가 모터소리가 드르륵 거리면서 너무 시끄러울 정도로 커서 버리고, 이번에 11번가 행사 검색하다가 쿠폰과 포인트도 활용하고 해서,저렴한 가격으로 윈드피아 16인치 선풍기를 새로 구매했습니다.. 배송도 빠른편이고,포장도 잘해주셔서 안전하게 잘 받았습니다.. 받아보니 조립하기도 어렵지않고,색상이나 디자인도 실물은 더 깔끔하고, 특히 중앙에 투명한 윈드피아 마크가 맘에드네요.. 조립을 다해가는데 중간 키높이 봉에 끼우는 작은나사가 없어서 문의하니 판매자님께서 바로 택배로 보내주셨네요..손톱만한 나사2개인데 택배로 받으려니 판매자님께 좀 미안하기도 하고. 바로바로 대처하는 판매자님의 정성이 느껴져서 기분 좋았습니다^^ 선풍기는 물론 16인치라 바람 도시원하고. 제생각엔 7엽짜리라 선풍기 바람이 좀더 멀리 나가는거 같아요.. 이번여름은 윈드피아 선풍기로 시원하게 잘보낼거같네요.. 특히 츤절하신 판매자님 응대에 감사드립니다..번창하세요~",0,482,3,3,5
691,691,11stReview,윈드피아,선풍기,chul***,2011.07.21,5,"선풍기 때문에 며칠 고민하다가 구매했습니다. 물론 상품평이 도움이 되었지만, 앞부분 깨어진 경우가 종종 있다는 걸 보고 조금 망설여지기도 했는데, 판매자가 수리부품을 제공해준다고 해서 구매했습니다. 아이 있는 집에서도 키높이로 되어 있으면서도 선풍기망에 손가락이 잘 안들어가도록 해놓아서 별도의 그물망은 필요없지 싶습니다. 부품 하나하나 포장도 신경을 많이 썼다는 느낌이 들고요(기스나 파손을 방지하기 위해서), 기능은 더할나위 없이 훌륭합니다. 동급 최강이라는 느낌이 드는군요. 예전에 한일만 구매했었는데, 전혀 떨어지지 않습니다.(포장지 재질은 좀 못합니다만, 단가 낮추기 위한 노력으로 보이고, 제품은 비슷하고 성능은 나은 듯하고, 가격은 비교불가 입니다.) 키높이 선풍기 고민하셨다면 더 고민하지 말고 구매하셔도 충분히 좋을 것 같습니다. 조용하고 기능 뛰어납니다.",0,432,4,0,3
692,692,11stReview,윈드피아,선풍기,tsbe******,2011.07.12,5,누가 쓰던걸 보낸건지 물건 외관은 깨끗하지 않고 설명서상에 조립이 필요한 부분이 이미 조립되있는걸 보니 확실히 새거는 아닌것 같네요 싼맛에 쓰자 싶어서 그냥 틀어놨는데 이건 뭐.. 작동한지 삼십분만에 회전이 안되는건 무슨경운가요?? 교환한다고 제대로 된 물건이 올것 같지도 않고 배송기간 보아하니 한 일주일은 기다려야 할것 같아서 그냥 씁니다 아 사진상 선풍기 몸통에작은 부품은 선풍기에서 떨어진거에요 도대체 어느부분에서 떨어진건지 알아야 다시 붙여놓든가 말든가 하죠 +선풍기에 꽃무늬 보이시는분?박스는플라워 선풍기라고 포장되어서 왔는데 ..넌 누구냐...ㅡㅡ이점은 너무 사소해서 까먹었네요,0,330,4,0,4
693,693,11stReview,윈드피아,선풍기,myda******,2012.06.27,5,"배송이 정말 빠르게왔어요. 선풍기를 인터넷으로 구입해본게 처음이라 어떻게 배송이 오나 궁금했는데 스티로폼과 뽁뽁이로 잘 싸서 안전하게 보내주셨네요~ 조립도 쉽더라구요, 5분만에 완성. 새제품답지않게 자잘한 스크레치가 좀 있고 망에 찌그러지 부분도 있더라구요~ 스크레치는 그렇게 심하지 않고, 찌그러진 부분도 손으로 대충 펴서 크게 눈에 띄진 않긴해요~ 이정도면 그럭저럭 양품인듯~ 전에 사용하던 선풍기가 너무 작고 소음이 심해서 이걸 구입한건데, 날개가 커서 바람도 시원하고 소음도 거의 없어서 정말 좋네요. 그리고 전체적인 디자인도 깨끗하고 예뻐요. 앞으로 고장만 없으면 좋겠어요. 저렴한 가격에 예쁘고 성능 좋은 선풍기 구입해서 정말 기분 좋습니다.",0,365,4,0,3
694,694,11stReview,윈드피아,선풍기,jane*****,2016.09.01,5,"GNB 메일 뉴스 판 동영상 만화 영화 게임 운세 자동차 잇픽개편! 쇼핑 더보기 뉴스 날씨 스포츠 연예 아이돌24 랭킹뉴스 판 톡톡 트렌드톡 판포토 팬톡 네이트온 도토리충전소 문자메시지 부동산 주소록 증권 폰월드서비스 전체보기더보기 닫기 실시간 검색어 1위9월 모의고사108상승 2위김재수95상승 3위아수라65상승 4위이경실 남편신규진입 5위교육과정 평가원40상승 6위한채아29상승 7위한국 중국 축구30상승 8위임진왜란 159218상승 9위근로장려금28상승 10위노트7 폭발21상승 Biz. 인기 검색어 1위암치료HOT 2위학사편입 준비 3위문서파쇄 가격HOT 4위인터넷보험비교사이트 5위보육교사 2급 6위자동차보험 비교견적 7위허리통증 극복방법HOT 8위상패제작 9위하지정맥류란? 10위연금보험 추천 회원 로그인 영역 회원 로그인아이디 or @이하 모두 입력 비밀번호 비밀번호 비밀번호 로그인 유지 | IP보안 ON 아이디 / 비밀번호 찾기 | 회원가입 웹 네이트온 로그인은 설치가 필요 없는 가벼운 네이트온이 네이트 로그인 만으로 함께 로그인 되는 편리한 기능입니다.웹 네이트온이란?알림 레이어 닫기 개인정보 보호를 위해 개인PC에서만 사용해 주세요. 도움말보기 알림 레이어 닫기 컨텐츠 영역 뉴스 뉴스 스포츠 연예 3 / 5자동전환기능 정지이전 뉴스 보기다음 뉴스 보기 슬라이드김연경·박찬호 '전설의 만남' 슬라이드아파트 내에 도로명주소 부여 한진해운 사태에 세계무역 혼란…비용 뛰고 배 못 구해 발동동 콜레라 환자 3명, 같은 오염원에 감염 | '청년주택' 2만5천호 올해 착수 김재수 청문회 ""1억9천만원에 93평 전세"" | 생리대 값 거품 공정위 조사 '좁은 바늘구멍' 손흥민 토트넘 잔류 의미 | EPL 이적 마지막날 폭풍일지 '아수라' 정우성 ""주지훈, 엄청 자"" | 이봉원 ""수입? 명품",0,898,27,0,0
698,698,11stReview,윈드피아,선풍기,ynlo****,2013.07.30,5,"조회해보니,, 작년에도 같은날 구입했더라구요ㅎ 저렴한 가격에 만족스럽게 잘~ 쓰고있습니다. 작년엔 16인치 5엽날개 제품 구입했었는데 그건 품절이라해서 16인치 7엽이랑 14인치 이코노믹 이렇게 두개 주문했어요. 작년 구매에 이어 이번 상품도 만족스럽답니다. 하지만. cj택배.. 이거 무료배송 아니잖아요? 비용이 적던 어떻던 제가 배송비 지불하면서 이렇게 불친절을 넘어 불량하고 억압적이기까지한 그 택배에 돈을 지불해야했는지.. 정말 물건 반품해버리고싶었습니다. 집에 사람이 있음에도 불구하고 전화로 사람 있냐고 물어봐서 아버지 계시니 벨 눌러보라하니 없다 그러고 지할말만 하고 전화를 끊더라구요. 그것도 저녁 8시반 넘어서. 전화 끊자마자 집에계신 아버지와 확인전화하고 1분도 안되어 그 택배기사한테 전화를 걸었지만 받지 않는... 다음날 낮에 확인 전화를 다시하니 성질을 내더군요. 내가 왜? 그 성질을 받아야하죠? 오늘은 몇시쯤 오시냐 물은게 다인데 말이죠. 전날 아버지는 외출도 못하시고 택배받으시겠다고 저녁 10시까지 기다리셨는데 택배를 받지 못한 우리가 화를 내도 내야하는거 아닌가요? 요즘같이 흉흉한 세상에 그런 불량배한테 택배를 받아야한다니 앞이 깜깜해지기까지 하더군요. 제가 cj택배에 전화를 걸어 컴플레인을 해봤지만. 돌아오는 답변은. 만나보면 그런분이 아닐지도 몰라요. 였습니다. 덕분에 선풍기 구입 후기에 이런글을 쓰게 되는군요.",0,701,5,0,1
702,702,11stReview,윈드피아,선풍기,yuri**,2013.07.23,5,"가격만족도/성능/실제색상 등 : 제 생각이긴해도 선풍기라 하면 대부분 신X전기, 아니면 삼X이나 뭐 그런거였는데 이번에 받아본 이 제품 중국 것이긴해도 정말 잘 만들었네요 성능도 나무랄 때가 없고.... 그런데 웬지 씁쓸하네요 중국 것이 잘 만들어지고 있다는게 ㅎㅎ상태/배송 : 포장재가 약간 지저분한게 택배 때 조심하지 않았겠지요 만, 그리고 내부에 완충제들은 너무 조잡하네요 규격화가 필요할 것 같네요그 외 도움이 될 만한 사용후기 : 싸다고 다 그렇겠지 라는 생각은 버려야겠죠 집에서 방방마다 필요해서 가격저렴하고 제품평 좋은걸 고르다가 윈드피아로 구입했습니다. 가격 저렴하고, 제품 성능도 좋고, 조립이 간편해서 청소도 수월하게 할 수있어서 아주 짱입니다요. 망 사이 간격도 좁은편이고 어째튼 한여름 더위 잘 지내서 좋았습니다여름에 선풍기가 필요해서 인터넷 여기저기 둘러보다가 여기가 제일 저렴해서 구매했어요 . 사이즈도 크고 키높이 조절도 잘되고 일반 가정용 선풍기보다 훨씬 시원해요 .칼라도 하늘색 시원해보이고 조아요",0,519,6,1,3
705,705,11stReview,윈드피아,선풍기,jweb******,2012.07.28,5,"오늘 윈드피아 선풍기 받았습니다. 깔끔하고 이쁘네요. 디자인은 맘에 들어요. 그런데... 박스를 오픈해보니... 전기선과 날개에 공장에서 묻은건지 기름때가 세 곳에 ... 처음에는 뭔가 했는데 닦아보니 기름때더군요. 디자인도 이쁘고 배송도 빠르고 가격도 저렴하고 성능도 괜찮은거 같고...포장할때 조금더 세심하고 살펴보고 포장했으면 하는 바램입니다. 중요한거는 모터의 성능인데...오래동안 써보지는 않아서 이 부분은 패스... 나중에라도 고장이 나거나 하면 글 올리겠습니다. 사용 첫날...가격대비 만족한다고 말하고 싶네요. ------ 사용 후기 ------ 현재 사용한지 일주일이 넘었습니다. 사용전에는 디자인만 좋아서 그냥 ""추천""이었습니다. 요즘 날씨가 장난이 아니죠? 직접 이 선풍기 사용해보니...위에서 잠깐 기분나뻤던것은 말끔하게 사라졌습니다. 깨끗하고 디자인도 이쁘고 성능도 좋고.. 가격대비 이 만한 선풍기는 없을 듯 싶습니다. 신일인가 그 회사 선풍기가 유명하다보니 그걸 사려다가 윈드피아로 산건데 정말 가격대비 디자인과 성능면에서 대단히 만족스럽습니다. 특히나 침대를 사용하는 분이라면 적극추천드립니다. 선풍기 높이가 정말 딱 침대용에 맞게 디자인된 것 같은 느낌입니다. 무더위 오래 간다는데 아직도 선풍기 고민중이시면 고민마시고 이거 구입하셔서 사용하세요. ....",0,664,15,2,6
